opta_id,opta_name,tm_id,tm_name,canonical_name,match_type,match_confidence,last_verified,updated_at
1bp4zxpf5872bbea2egft34h6,Sergio Guerrero,971630.0,R. Guerrero,sergio guerrero,exact_surname,0.9,2026-06-07,
3tlwxdwq1ln9tpfslreqoa9yh,Sori Mané,883007.0,F. Mané,sori mane,exact_surname,0.9,2026-06-07,
8lahho5viagd48ufvp582453p,Sávio,678001.0,Edit Savio,savio,exact_surname,0.9,2026-06-07,
7n7bwwtoha428z6za4ky9l2i1,T. Banega,12249.0,Éver Banega,t banega,exact_surname,0.9,2026-06-07,
6bwdeulsld9d0ylx6o66478wl,T. Chevalier,463600.0,L. Chevalier,t chevalier,exact_surname,0.9,2026-06-07,
dhzv6csb9ow6oavr9ccr316hg,T. Cravero,891681.0,Tiago Cravero,t cravero,exact_surname,0.9,2026-06-07,
1ezai0a0n3xem17lwhtxwaml1,T. Dierckx,1264666.0,X. Dierckx,t dierckx,exact_surname,0.9,2026-06-07,
6cbixj2kogb7ibypc15x6crxm,T. Francois,72736.0,G. François,t francois,exact_surname,0.9,2026-06-07,
aie09n600h7ozeg6zl6anithx,T. Halilović,226074.0,A. Halilović,t halilovic,exact_surname,0.9,2026-06-07,
p03kwbyql097tuepabx2eb6c,T. Jacob,284526.0,V. Jacob,t jacob,exact_surname,0.9,2026-06-07,
b28z1ec40s6vg89at9ncrq1g5,T. Jacobsen,44726.0,A. Jacobsen,t jacobsen,exact_surname,0.9,2026-06-07,
1k9g7x8jwhzcpx8bc5ji7og0k,T. Jakobsen,503602.0,A. Jakobsen,t jakobsen,exact_surname,0.9,2026-06-07,
ag4dpuocam5wfpvpyxtxhpa6t,T. Kaminski,407098.0,J. Kamiński,t kaminski,exact_surname,0.9,2026-06-07,
azq6khf9mv7scpyxr6q08hw45,T. Kane,132098.0,H. Kane,t kane,exact_surname,0.9,2026-06-07,
643b413dyyhat62izfe0s6jmd,T. Lawrence,272706.0,J. Lawrence,t lawrence,exact_surname,0.9,2026-06-07,
bdmomasg7lrn5pwihecvgpuga,T. Livramento,676411.0,Dailon Livramento,t livramento,exact_surname,0.9,2026-06-07,
5qc0owkwmgk74qy13ft3kpg5,T. Mohr,949389.0,N. Mohr,t mohr,exact_surname,0.9,2026-06-07,
diw7je3i5mkvwf0kj898yi0gl,T. Moore,123536.0,S. Moore,t moore,exact_surname,0.9,2026-06-07,
13hfohs5mr4an1h5vfra41zis,T. Nasif,1291055.0,Tomás Nasif,t nasif,exact_surname,0.9,2026-06-07,
eqggzoepu1d4t13fw6ybebtn9,T. Rincón,834487.0,Hugo Rincón,t rincon,exact_surname,0.9,2026-06-07,
9ccfl5n9m3t2jmv2n39wv7ufp,T. Roberts,214666.0,C. Roberts,t roberts,exact_surname,0.9,2026-06-07,
2rn8mnhlrtrbm6du97f54zckq,T. Sakamoto,814491.0,I. Sakamoto,t sakamoto,exact_surname,0.9,2026-06-07,
2ai3a7xbqmrt3etawuxlwrgmh,T. Sandoval,1260851.0,S. Sandoval,t sandoval,exact_surname,0.9,2026-06-07,
e8vzy09iw6420p567rmrcj3vu,T. Seko,405389.0,A. Seko,t seko,exact_surname,0.9,2026-06-07,
c4tdxyiswdlihktacum4nkw0k,T. Serrago,1231128.0,Tiago Serrago,t serrago,exact_surname,0.9,2026-06-07,
62qm90k4d9lsuf4l176moad49,T. Tillman,467437.0,M. Tillman,t tillman,exact_surname,0.9,2026-06-07,
4aa8wt0pl3ihst80t66pyapcl,T. Walker,95424.0,K. Walker,t walker,exact_surname,0.9,2026-06-07,
1qj90m3p6cqnonpocm5nlglm2,T. Zidane,283489.0,L. Zidane,t zidane,exact_surname,0.9,2026-06-07,
79nno03ww57p02dz5o0g60rqi,Tetê,206746.0,K. Tete,tete,exact_surname,0.9,2026-06-07,
avjs3xdqwez7h5aqz13vut49h,Thuram,463618.0,K. Thuram,thuram,exact_surname,0.9,2026-06-07,
70hnojvt05azfjppu0bkroahg,Théo Fonseca,462070.0,N. Fonseca,theo fonseca,exact_surname,0.9,2026-06-07,
28c5u8xecqny8darj4yoywbmd,Tobias Figueiredo,703324.0,Figueiredo,tobias figueiredo,exact_surname,0.9,2026-06-07,
7ortocd2feo0gvmvhidmkm295,U. Milovanović,845568.0,Marko Milovanović,u milovanovic,exact_surname,0.9,2026-06-07,
1b8uwkohkevu6ltjex0liklpl,V. Antov,227347.0,Valentin Antov,v antov,exact_surname,0.9,2026-06-07,
446scvw0ckoxnvnsqcqocve1h,V. Berisha,583046.0,M. Berisha,v berisha,exact_surname,0.9,2026-06-07,
dwko6ch0vfa78xepas0jno8np,V. Cuesta,104326.0,Victor Cuesta,v cuesta,exact_surname,0.9,2026-06-07,
1m0qpbce7dob7mdbo7titbqp5,V. Edvardsen,265324.0,O. Edvardsen,v edvardsen,exact_surname,0.9,2026-06-07,
71i4y9idpez1m9292k6mw04x5,V. Ethemi,538566.0,Valon Ethemi,v ethemi,exact_surname,0.9,2026-06-07,
e44sv1k4belucgkkem7qtkpd6,V. Guillaume,264567.0,B. Guillaume,v guillaume,exact_surname,0.9,2026-06-07,
5hjsl94zct7s9kakzo0avb845,V. Huerta,540315.0,C. Huerta,v huerta,exact_surname,0.9,2026-06-07,
7zumwzlab5xspkpglhxivzfxm,V. Kovačević,845563.0,B. Kovačević,v kovacevic,exact_surname,0.9,2026-06-07,
3eaocvbi0so7p2z4itqlwg2j9,V. Sarı,517376.0,Y. Sarı,v sar,exact_surname,0.9,2026-06-07,
6g44j80ofx3xij3ltql12bhsl,V. Simić,658693.0,R. Šimić,v simic,exact_surname,0.9,2026-06-07,
cx7a0xn087qj1npr1wdfpylg4,V. Simoni,726120.0,S. Simoni,v simoni,exact_surname,0.9,2026-06-07,
e5qxgyemm1sj955y5liqp71uc,Vando Félix,670683.0,Hugo Félix,vando felix,exact_surname,0.9,2026-06-07,
aq1al79jd2ht68v3ylktqn4k5,W. Aguerre,269784.0,A. Aguerre,w aguerre,exact_surname,0.9,2026-06-07,
41i7bdytm2ebxzpdfbunqz36x,W. Machado,332560.0,D. Machado,w machado,exact_surname,0.9,2026-06-07,
bp1jg75j004zc4f7y3ehg1ka1,W. Mazzantti,477458.0,Walter Mazzantti,w mazzantti,exact_surname,0.9,2026-06-07,
dusp15m3exw18eoure4hii5zp,W. Ángel,646824.0,Manuel Ángel,w angel,exact_surname,0.9,2026-06-07,
cve097v6ihlthg4wbiwgq5brp,X. Kouassi,1088199.0,A. Kouassi,x kouassi,exact_surname,0.9,2026-06-07,
9ncagt0ezp4f41hz3b64af1t5,Y. Adli,532776.0,A. Adli,y adli,exact_surname,0.9,2026-06-07,
1h5s7q9ezqulz6mvvc9981vc9,Y. Akgün,396908.0,C. Akgün,y akgun,exact_surname,0.9,2026-06-07,
e4q5wybcvl6ti8gqhcxpc4lat,Y. Erdoğan,443363.0,Okan Erdoğan,y erdogan,exact_surname,0.9,2026-06-07,
4xyyxj5rmv43qalz0w373iqc5,Y. Güreler,988247.0,H. Güreler,y gureler,exact_surname,0.9,2026-06-07,
c2hmvhnurdg1vw49j45dw2jca,Y. Lawal,393686.0,T. Lawal,y lawal,exact_surname,0.9,2026-06-07,
cuptoetfydcag9lnzjzf9q8yd,Y. Meïté,807165.0,B. Meïté,y meite,exact_surname,0.9,2026-06-07,
rm1d0hp2iwsne1hbfgq0oa21,Y. Njie,934527.0,A. Njie,y njie,exact_surname,0.9,2026-06-07,
vxh1f55e4qfs9zo4xt8dsu6t,Y. Rahmani,255506.0,Yanis Rahmani,y rahmani,exact_surname,0.9,2026-06-07,
bagn0ce4xunsiz3mezrtqx1p1,Y. Sommer,572051.0,T. Sommer,y sommer,exact_surname,0.9,2026-06-07,
54zk6m8npg15dip3wex3baitx,Y. Stark,162434.0,N. Stark,y stark,exact_surname,0.9,2026-06-07,
da81277761mvu8idmy1ekqdw5,Y. Touzghar,953065.0,R. Touzghar,y touzghar,exact_surname,0.9,2026-06-07,
cqx7677sg021tfdl6rr5qtcyd,Y. del Valle,709957.0,Álex Valle,y del valle,exact_surname,0.9,2026-06-07,
8jh2hi287wjaldwq5e5185wq1,Yan Matheus,177547.0,Matheus,yan matheus,exact_surname,0.9,2026-06-07,
3qbeypoqvj93wzbbqd1upx7f9,Ygor Nogueira,1135545.0,Gonçalo Nogueira,ygor nogueira,exact_surname,0.9,2026-06-07,
eg24r9plf0iezodkud8tn5rdh,Zé Luís,637803.0,Rafael Luís,ze luis,exact_surname,0.9,2026-06-07,
431jaagqdxql5j76smzboqhux,Álex Bermejo,372051.0,Sergio Bermejo,alex bermejo,exact_surname,0.9,2026-06-07,
defkaykmw8lmts2gumfa1jyzt,Álex Collado,566965.0,Diego Collado,alex collado,exact_surname,0.9,2026-06-07,
